"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"CAL_lfb_detect_carspeed_min","40008932","Data Label","Global","User Defined","1","0"
"CAL_lfb_pulse_enable","40008938","Data Label","Global","User Defined","2","0"
"CAL_lfb_clutch_threshold","4000893a","Data Label","Global","User Defined","1","0"
"CAL_sensor_fuel_pressure_scaling","40008940","Data Label","Global","User Defined","1","0"
"CAL_sensor_fuel_pressure_offset","40008942","Data Label","Global","User Defined","1","0"
"CAL_idle_low_car_speed_exit","40008944","Data Label","Global","User Defined","1","0"
"CAL_idle_low_car_speed_enter","40008945","Data Label","Global","User Defined","1","0"
"CAL_ac_compressor_engine_speed3","40008950","Data Label","Global","User Defined","1","1"
"CAL_cooling_engine_speed_unknown_threshold","40008952","Data Label","Global","User Defined","1","1"
"CAL_oil_pressure_switch_voltage_scaling","40008954","Data Label","Global","User Defined","1","0"
"CAL_oil_pressure_switch_offset","40008956","Data Label","Global","User Defined","1","0"
"CAL_torque_unknown_tps_clamp1","40008980","Data Label","Global","User Defined","2","0"
"CAL_torque_unknown_tps_clamp2","40008982","Data Label","Global","User Defined","2","0"
"CAL_torque_unknown_tps_clamp3","40008984","Data Label","Global","User Defined","2","0"
"CAL_torque_unknown_tps_clamp4","40008986","Data Label","Global","User Defined","2","0"
"CAL_revlimit_torque_limit_confirmation_threshold","40008988","Data Label","Global","User Defined","1","0"
"CAL_fuel_range_remaining_smoothing_factor","4000898f","Data Label","Global","User Defined","1","0"
"CAL_cluster_fuel_mileage_update_timer","40008991","Data Label","Global","User Defined","1","0"
"CAL_tpssmooth_increment_b_neutral_tour","40008992","Data Label","Global","User Defined","1","0"
"CAL_tpssmooth_increment_b_neutral_sport","40008993","Data Label","Global","User Defined","1","0"
"CAL_ign_comp_idle_error3_X_rpm","40008996","Data Label","Global","User Defined","3","0"
"CAL_ign_comp_idle_error3","400089a6","Data Label","Global","User Defined","3","0"
"CAL_idle_comp_accel_pedal_pos","400089be","Data Label","Global","User Defined","1","0"
"CAL_cluster_range_to_empty_limit","400089c6","Data Label","Global","User Defined","2","1"
"CAL_fuel_range_smoothing_interval","400089c8","Data Label","Global","User Defined","1","0"
"CAL_fuel_usage_reset_request_timer","400089c9","Data Label","Global","User Defined","1","0"
"CAL_unknown_rate_limit2_X_rpm","40008a6a","Data Label","Global","User Defined","1","0"
"CAL_unknown_rate_limit2","40008a72","Data Label","Global","User Defined","1","0"
"CAL_unknown_rate_limit3_X_rpm","40008a7a","Data Label","Global","User Defined","1","0"
"CAL_unknown_rate_limit3","40008a82","Data Label","Global","User Defined","1","0"
"CAL_injtip_transient_throttle_response_time_X_coolant_tmp","40008a8a","Data Label","Global","User Defined","1","0"
"CAL_injtip_transient_throttle_response_time_Y_rpm","40008a92","Data Label","Global","User Defined","1","0"
"CAL_injtip_transient_throttle_response_time","40008a9a","Data Label","Global","User Defined","1","0"
"CAL_injtip_comp_load1_X_load","40008ada","Data Label","Global","User Defined","1","0"
"CAL_injtip_comp_load1","40008aea","Data Label","Global","User Defined","1","0"
"CAL_inj_enrichment_factor_load_n_coolant_ips_X_load","40008afa","Data Label","Global","User Defined","1","0"
"CAL_inj_enrichment_factor_load_n_coolant_ips_Y_coolant","40008b06","Data Label","Global","User Defined","1","0"
"CAL_inj_enrichment_factor_load_n_coolant_ips","40008b16","Data Label","Global","User Defined","1","0"
"CAL_inj_comp_air_temp_startup_X_air_temp","40008bee","Data Label","Global","User Defined","4","0"
"CAL_inj_comp_air_temp_startup_Y_maf_accum","40008bf8","Data Label","Global","User Defined","4","0"
"CAL_inj_comp_air_temp_startup","40008c02","Data Label","Global","User Defined","4","0"
"CAL_sensor_engine_air_scaling","40008c66","Data Label","Global","User Defined","2","0"
"CAL_sensor_coolant_temp_sensor_engine_off_scaling","40008c88","Data Label","Global","User Defined","4","0"
"CAL_sensor_intake_air_scaling","40008caa","Data Label","Global","User Defined","2","0"
"CAL_injtip_dfco_manual_unknown1_X_coolant_temp","40008cec","Data Label","Global","User Defined","1","0"
"CAL_injtip_dfco_manual_unknown1","40008cf0","Data Label","Global","User Defined","1","0"
"CAL_ign_comp_coldstart_X_startup_temp","40008d0e","Data Label","Global","User Defined","1","0"
"CAL_ign_comp_coldstart","40008d16","Data Label","Global","User Defined","1","0"
"CAL_evap_timer_unknown1_X_coolant_temp","40008d1e","Data Label","Global","User Defined","1","0"
"CAL_evap_timer_unknown1","40008d26","Data Label","Global","User Defined","1","0"
"CAL_injtip_dfco_enable_rpm_manual_default_X_coolant","40008d3e","Data Label","Global","User Defined","1","0"
"CAL_injtip_dfco_enable_rpm_manual_default","40008d42","Data Label","Global","User Defined","1","0"
"CAL_ac_unknown1_X_rpm","40008d48","Data Label","Global","User Defined","1","0"
"CAL_ac_unknown1","40008d4c","Data Label","Global","User Defined","1","0"
"CAL_idle_comp_iat_X_iat","40008d56","Data Label","Global","User Defined","1","0"
"CAL_idle_comp_iat","40008d5e","Data Label","Global","User Defined","1","0"
"CAL_ign_comp_idle_error2_X_idle_speed_error","40008d90","Data Label","Global","User Defined","3","0"
"CAL_ign_comp_idle_error2","40008da0","Data Label","Global","User Defined","3","0"
"CAL_ign_comp_tps_manual_X_engine_speed","40008db0","Data Label","Global","User Defined","2","0"
"CAL_ign_comp_tps_manual_Y_accel_pedal","40008db8","Data Label","Global","User Defined","2","0"
"CAL_ign_comp_tps_manual","40008dc0","Data Label","Global","User Defined","2","0"
"CAL_ign_comp_tps_ips_X_engine_speed","40008e00","Data Label","Global","User Defined","2","0"
"CAL_ign_comp_tps_ips_Y_pedal_pos","40008e07","Data Label","Global","User Defined","2","0"
"CAL_ign_comp_tps_ips","40008e0f","Data Label","Global","User Defined","2","0"
"CAL_torque_unknown6_X_unknown","40008e48","Data Label","Global","User Defined","1","0"
"CAL_torque_unknown6","40008e50","Data Label","Global","User Defined","1","0"
"CAL_ecu_engine_speed_target_dec_gain_X_coolant_temp","40008e58","Data Label","Global","User Defined","1","0"
"CAL_ecu_engine_speed_target_dec_gain","40008e5c","Data Label","Global","User Defined","1","0"
"CAL_inj_closedloop_activate_engine_timer","40008e62","Data Label","Global","User Defined","1","0"
"CAL_vvt_intake_advance_base_X_engine_speed","40008e7a","Data Label","Global","User Defined","2","0"
"CAL_vvt_intake_advance_base_Y_load","40008e8a","Data Label","Global","User Defined","2","0"
"CAL_vvt_intake_advance_base","40008e9a","Data Label","Global","User Defined","2","0"
"CAL_vvt_intake_advance_coolant_offset_X_temp","40008f9a","Data Label","Global","User Defined","1","0"
"CAL_vvt_intake_advance_coolant_offset","40008faa","Data Label","Global","User Defined","1","0"
"CAL_torque_engine_ac_load_base_X_ac","4000913e","Data Label","Global","User Defined","1","0"
"CAL_torque_engine_ac_load_base","4000914e","Data Label","Global","User Defined","1","0"
"CAL_load_alphaN_seed_X_tps","40009162","Data Label","Global","User Defined","1","0"
"CAL_load_alphaN_seed","40009172","Data Label","Global","User Defined","1","0"
"CAL_injtip_dfco_ips_unknown1_X_coolant_temp","40009192","Data Label","Global","User Defined","1","0"
"CAL_injtip_dfco_ips_unknown1","40009196","Data Label","Global","User Defined","1","0"
"CAL_injtip_comp_negative_load_X_load","400091a2","Data Label","Global","User Defined","1","0"
"CAL_injtip_comp_negative_load","400091b2","Data Label","Global","User Defined","1","0"
"CAL_idle_target_manual_tour_X_coolant_temp","400091c2","Data Label","Global","User Defined","2","0"
"CAL_idle_target_manual_tour","400091d2","Data Label","Global","User Defined","2","0"
"CAL_tpssmooth_increment_rpm_X_rpm","4000927a","Data Label","Global","User Defined","1","0"
"CAL_tpssmooth_increment_rpm","40009282","Data Label","Global","User Defined","1","0"
"CAL_tpssmooth_increment_sport_X_tps_diff","4000928a","Data Label","Global","User Defined","1","0"
"CAL_tpssmooth_increment_sport","40009292","Data Label","Global","User Defined","1","0"
"CAL_ign_comp_coolant_manual1_X_coolant_temp","400092da","Data Label","Global","User Defined","1","0"
"CAL_ign_comp_coolant_manual1","400092ea","Data Label","Global","User Defined","1","0"
"CAL_ign_comp_idle_error1_X_rpm","400092fa","Data Label","Global","User Defined","3","0"
"CAL_ign_comp_idle_error1","4000930a","Data Label","Global","User Defined","3","0"
"CAL_ign_comp_engine_air_X_air_temp","4000931a","Data Label","Global","User Defined","1","0"
"CAL_ign_comp_engine_air","4000932a","Data Label","Global","User Defined","1","0"
"CAL_injtip_comp_rpm1_X_engine_speed","4000933a","Data Label","Global","User Defined","1","0"
"CAL_injtip_comp_rpm1","4000934a","Data Label","Global","User Defined","1","0"
"CAL_injtip_comp_step1_X_rpm","4000935a","Data Label","Global","User Defined","1","0"
"CAL_injtip_comp_step1","4000936a","Data Label","Global","User Defined","1","0"
"CAL_injtip_comp_temp1_X_coolant","4000937a","Data Label","Global","User Defined","1","0"
"CAL_injtip_comp_temp1","4000938a","Data Label","Global","User Defined","1","0"
"CAL_injtip_comp_negative_rpm_X_rpm","4000939a","Data Label","Global","User Defined","1","0"
"CAL_injtip_comp_negative_rpm","400093aa","Data Label","Global","User Defined","1","0"
"CAL_injtip_step_unknown_X_rpm","400093ba","Data Label","Global","User Defined","1","0"
"CAL_injtip_step_unknown","400093ca","Data Label","Global","User Defined","1","0"
"CAL_injtip_comp_negative_temp_X_coolant_temp","400093da","Data Label","Global","User Defined","1","0"
"CAL_injtip_comp_negative_temp","400093ea","Data Label","Global","User Defined","1","0"
"CAL_ign_limit_first_gear_manual_X_engine_speed","4000940a","Data Label","Global","User Defined","1","0"
