"Name","Location","Type","Data Type","EOL Comment"
"CAL_closedloop_stft_increment_period","40008818","Data Label","u8_time_5ms","Calibration: closedloop short-term fuel trim increment period (ms = val*5)."
"CAL_cooling_recirc_enginespeed_disable_engine_on","4000881a","Data Label","u16_rspeed_rpm","Calibration: cooling recirc enginespeed disable engine on (RPM)."
"CAL_revlimit_fuelcut_hysteresis","40008820","Data Label","u16_rspeed_rpm","Calibration: rev-limit fuelcut hysteresis (RPM)."
"CAL_trans_gear_lookup_unknown2","40008824","Data Label","uint16_t[2]","Calibration: transmission gear lookup unknown2 (2-element array)."
"CAL_closedloop_fuel_learn_coolant_min","4000883a","Data Label","u8_temp_5/8-40c","Calibration: closedloop fuel learn coolant minimum (°C = val*5/8−40)."
"CAL_closedloop_proportional_gain_rich_ips","40008846","Data Label","uint16_t","Calibration: closedloop proportional gain rich IPS."
"CAL_closedloop_proportional_gain_lean_ips","40008848","Data Label","uint16_t","Calibration: closedloop proportional gain lean IPS."
"CAL_closedloop_integral_gain_ips","4000884a","Data Label","uint16_t","Calibration: closedloop integral gain IPS."
"CAL_closedloop_derivative_gain_ips","4000884c","Data Label","uint16_t","Calibration: closedloop derivative gain IPS."
"CAL_revlimit_startup_offset_decrement","40008854","Data Label","u8_count","Calibration: rev-limit startup offset decrement."
"CAL_ign_zero_load_threshold","4000885c","Data Label","u8_load_4mg/stroke","Calibration: ignition zero load threshold (mg/stroke = val*4)."
"CAL_ign_zero_gear","4000885d","Data Label","u8_gear","Calibration: ignition zero gear."
"CAL_ign_comp_recovery_timer","4000885e","Data Label","u8_time_5ms","Calibration: ignition compensation recovery timer (ms = val*5)."
"CAL_cruise_speed_limit","40008860","Data Label","u8_speed_kph[2]","Calibration: cruise speed limit (km/h; 2-element array)."
"CAL_cruise_speed_deadband","40008864","Data Label","u8_speed_kph","Calibration: cruise speed deadband (km/h)."
"CAL_cruise_speed_increment","40008865","Data Label","u8_speed_1/100kph","Calibration: cruise speed increment (km/h = val/100)."
"CAL_cruise_speed_decrement","40008866","Data Label","u8_speed_1/100kph","Calibration: cruise speed decrement (km/h = val/100)."
"CAL_cruise_speed_increment2","4000886c","Data Label","u8_speed_1/10kph","Calibration: cruise speed increment2 (km/h = val/10)."
"CAL_ecu_brake_or_clutch_inactive_timer","40008875","Data Label","u8_time_5ms","Calibration: ECU brake or clutch inactive timer (ms = val*5)."
"CAL_tmap_use_for_inj","40008877","Data Label","bool","Calibration: TMAP use for injector (boolean flag)."
"CAL_load_cylinder_volume","40008878","Data Label","u16_volume_cc","Calibration: load cylinder volume (cc)."
"CAL_cooling_recirc_airtemp_disable_engine_on","4000887a","Data Label","u8_temp_5/8-40c","Calibration: cooling recirc airtemp disable engine on (°C = val*5/8−40)."
"CAL_cooling_recirc_rpm_enable_engine_on","4000887c","Data Label","u16_rspeed_rpm","Calibration: cooling recirc RPM enable engine on (RPM)."
"CAL_tpssmooth_decrement_comp_gears_ips","4000887e","Data Label","u8_factor_1/255[7]","Calibration: tpssmooth decrement compensation gears IPS (val/255; 7-element array)."
"CAL_closedloop_engine_run_learn_timer_unknown","40008886","Data Label","u8_time_hours","Calibration: closedloop engine run learn timer (hours)."
"CAL_closedloop_integral_gain_scale_manual","40008887","Data Label","u8_factor_1/255","Calibration: closedloop integral gain scale manual (val/255)."
"CAL_closedloop_entry_delay_power_enrich","40008888","Data Label","u8_time_ms","Calibration: closedloop entry delay power enrich (ms)."
"CAL_exhaust_flap_RPM_threshold_open","4000888a","Data Label","u16_rspeed_rpm","Calibration: exhaust flap RPM threshold open (RPM)."
"CAL_exhaust_flap_RPM_threshold_close","4000888c","Data Label","u16_rspeed_rpm","Calibration: exhaust flap RPM threshold close (RPM)."
"CAL_closedloop_entry_delay_time_cruise","4000888e","Data Label","u8_time_ms","Calibration: closedloop entry delay time cruise (ms)."
"CAL_exhaust_flap_startup_threshold","40008893","Data Label","u8_time_100ms","Calibration: exhaust flap startup threshold (ms = val*100)."
"CAL_revlimit_flow_proportional_term","40008894","Data Label","u8_mass_g","Calibration: rev-limit flow proportional term (g)."
